district,state,full_imm_pct,mcv1_pct,dtp3_pct,bcg_pct,source,survey_year,mmr_coverage,dtp_coverage,bcg_coverage,herd_risk
mumbai,maharashtra,94.2,95.1,94.8,97.3,NFHS-5_2019-21,2021,0.951,0.948,0.973,False
thane,maharashtra,89.1,91.2,90.3,95.1,NFHS-5_2019-21,2021,0.912,0.903,0.951,False
pune,maharashtra,82.7,84.3,83.1,91.2,NFHS-5_2019-21,2021,0.843,0.831,0.912,False
nashik,maharashtra,79.4,80.2,79.8,88.4,NFHS-5_2019-21,2021,0.802,0.798,0.884,False
nagpur,maharashtra,87.3,88.9,87.6,93.2,NFHS-5_2019-21,2021,0.889,0.876,0.932,False
aurangabad,maharashtra,71.6,73.1,72.4,82.3,NFHS-5_2019-21,2021,0.731,0.724,0.823,False
solapur,maharashtra,74.2,75.8,74.9,83.1,NFHS-5_2019-21,2021,0.758,0.749,0.831,False
kolhapur,maharashtra,84.5,86.2,85.3,92.4,NFHS-5_2019-21,2021,0.862,0.853,0.924,False
amravati,maharashtra,76.8,78.3,77.6,85.2,NFHS-5_2019-21,2021,0.783,0.776,0.852,False
nanded,maharashtra,65.3,67.1,66.4,77.8,NFHS-5_2019-21,2021,0.671,0.664,0.778,True
latur,maharashtra,68.9,70.4,69.7,79.3,NFHS-5_2019-21,2021,0.704,0.697,0.793,False
satara,maharashtra,85.6,87.1,86.3,93.1,NFHS-5_2019-21,2021,0.871,0.863,0.931,False
sangli,maharashtra,83.2,84.8,84.0,91.6,NFHS-5_2019-21,2021,0.848,0.84,0.916,False
jalgaon,maharashtra,72.4,74.0,73.2,82.7,NFHS-5_2019-21,2021,0.74,0.732,0.827,False
dhule,maharashtra,61.8,63.4,62.6,74.2,NFHS-5_2019-21,2021,0.634,0.626,0.742,True
raigad,maharashtra,80.3,81.9,81.1,89.4,NFHS-5_2019-21,2021,0.819,0.811,0.894,False
chandrapur,maharashtra,73.5,75.1,74.3,83.8,NFHS-5_2019-21,2021,0.751,0.743,0.838,False
yavatmal,maharashtra,67.2,68.8,68.0,78.5,NFHS-5_2019-21,2021,0.688,0.68,0.785,True
osmanabad,maharashtra,59.6,61.2,60.4,72.1,NFHS-5_2019-21,2021,0.612,0.604,0.721,True
washim,maharashtra,55.8,57.4,56.6,68.3,NFHS-5_2019-21,2021,0.574,0.566,0.683,True
buldana,maharashtra,64.3,65.9,65.1,75.8,NFHS-5_2019-21,2021,0.659,0.651,0.758,True
akola,maharashtra,70.1,71.7,70.9,80.4,NFHS-5_2019-21,2021,0.717,0.709,0.804,False
wardha,maharashtra,78.9,80.5,79.7,88.2,NFHS-5_2019-21,2021,0.805,0.797,0.882,False
gondia,maharashtra,75.6,77.2,76.4,85.9,NFHS-5_2019-21,2021,0.772,0.764,0.859,False
bhandara,maharashtra,77.8,79.4,78.6,87.1,NFHS-5_2019-21,2021,0.794,0.786,0.871,False
gadchiroli,maharashtra,52.3,53.9,53.1,65.6,NFHS-5_2019-21,2021,0.539,0.531,0.656,True
palghar,maharashtra,71.2,72.8,72.0,81.5,NFHS-5_2019-21,2021,0.728,0.72,0.815,False
ratnagiri,maharashtra,86.9,88.5,87.7,94.2,NFHS-5_2019-21,2021,0.885,0.877,0.942,False
sindhudurg,maharashtra,88.4,90.0,89.2,95.7,NFHS-5_2019-21,2021,0.9,0.892,0.957,False
ahmednagar,maharashtra,80.7,82.3,81.5,90.0,NFHS-5_2019-21,2021,0.823,0.815,0.9,False
